0a	0:AH;1:EY
4sberger	1000:AE D IH L Z B ER G ER
5on	100:AE D AH L S AH N
5tein	100:AE D AH L S T AY N;100:AE D AH L S T IY N
3n	10:EY D AH N
4a	100:AE D IH N AH
5uer	102:AW R
4ine	102:IY N
4oid	102:OY D
7s	102:OY D Z
5scan	0102:AE N
6ine	0102:IY N
5virus	01020:AY R AH S
3pt	01:EH P T
3quacy	1000:AE D AH K W AH S IY
6te	100:AE D AH K W AH T;102:EY T
8ly	1000:AE D AH K W AH T L IY;1000:AE D AH K W IH T L IY
3r	10:EY D ER
4hold	100:AE D ER HH OW L D
7t	100:AE D ER HH OW L T
4man	100:AE D ER M AH N
3s	1:EY D Z
3y	10:EY D IY
2ger	10:AE JH ER
2ham	10:AE D HH AE M
3d	2221:IY
3ere	01:IH R
6d	01:IH R D
6nce	010:IH R AH N S
7t	010:IH R AH N T
8s	010:IH R AH N T S
6s	01:IH R Z
5ing	010:IH R IH NG
4sion	010:IY ZH AH N
6ve	010:IY S IH V
8s	010:IY S IH V Z
2ia	100:AA D IY AH
3d	01:IH D
4as	010:IY D AH S
6's	0100:IY D AH S IH Z
3eu	01:UW
3n	01:IH N
4a	010:IY N AH
4e	010:IY N IY
4olfi	0010:OW L F IY
3os	201:OW S
3pose	102:OW S
3rondack	2010:AA N D AE K
3sq	01:IH S K;10:EY D IH S K
2jacent	010:EY S AH N T
4ni	010:AA N IY
3ective	100:AE JH IH K T IH V
9s	100:AE JH IH K T IH V Z
3oin	01:OY N
6ing	010:OY N IH NG
6s	01:OY N Z
4urn	01:ER N
7ed	01:ER N D
7ing	010:ER N IH NG
7ment	010:ER N M AH N T
7s	01:ER N Z
3udge	01:AH JH
7d	01:AH JH D
5icate	0102:EY T
ad	01020:EY T IH D
9ing	01020:EY T IH NG
aon	02010:EY SH AH N
4nct	12:AH NG K T
7s	12:AH NG K T S
4st	01:AH S T
6able	0100:AH S T AH B AH L
as	0100:AH S T AH B AH L Z
6ed	010:AH S T IH D
7r	010:AH S T ER
8s	010:AH S T ER Z
6ing	010:AH S T IH NG
6ment	010:AH S T M AH N T
as	010:AH S T M AH N T S
6s	01:AH S T S
4tant	100:AE JH AH T AH N T
2kins	10:AE D K IH N Z
6on	100:AE D K IH N S AH N
4son	100:AE D K IH S AH N
5son	100:AE D K IH S AH N
2l-tabataba	202010:AA B AH
ci	202021:AY
3ai	010:AA IY
3er	10:AE D L ER
5's	10:AE D L ER Z
5s	10:AE D L ER Z
4y	10:AE D L IY
3on	10:AE D L AA N
5g	10:AE D L AO NG
2man	10:AE D M AH N
3en	10:AE D M AH N
3in	10:AE D M IH N
5ister	0100:IH N AH S T ER
aed	0100:IH N AH S T ER D
aing	01020:ER IH NG
as	0100:IH N IH S T ER Z
8rate	0102:EY T
bing	01020:EY T IH NG
con	02010:EY SH AH N
e's	02010:EY SH AH N Z
es	02010:EY SH AH N Z
f'	02010:EY SH AH N Z
cve	01020:EY T IH V
ely	020100:EY T IH V L IY
bor	01020:EY T ER
d's	01020:EY T ER Z
ds	01020:EY T ER Z
e'	01020:EY T ER Z
5s	01:IH N Z;10:AE D M IH N Z
4ra	010:AY R AH
6's	010:AY R AH Z
6ble	1000:AE D M ER AH B AH L;100:AE D M R AH B AH L
8y	1000:AE D M ER AH B L IY
6l	100:AE D M ER AH L
7's	100:AE D M ER AH L Z
7s	100:AE D M ER AH L Z
7ty	1000:AE D M ER AH L T IY
6tion	2010:EY SH AH N
as	2010:EY SH AH N Z
5e	01:AY R
6d	010:AY ER D
6r	010:AY R ER
7s	010:AY R ER Z
6s	01:AY R Z
5ing	010:AY R IH NG
8ly	0100:AY R IH NG L IY
4ssibility	020100:IH L AH T IY
8le	0100:IH S AH B AH L
7on	010:IH SH AH N
9s	010:IH SH AH N Z
4t	01:IH T
5s	01:IH T S
5tance	010:IH T AH N S
6ed	010:IH T IH D
8ly	0100:IH T IH D L IY
6ing	010:IH T IH NG
3onish	010:AA N IH SH
8ed	010:AA N IH SH T
9s	0100:AA N IH SH IH Z
8ing	0100:AA N IH SH IH NG
8ment	0100:AA N IH SH M EH N T
6tion	2010:IH SH AH N
as	2010:IH SH AH N Z
7ory	21020:AO R IY
2nan	10:AE D N AH N
3ey	10:AE D N IY
2o	01:UW
3be	010:OW B IY
5's	010:OW B IY Z
3lescence	2010:EH S AH N S
9t	2010:EH S AH N T
as	2010:EH S AH N T S
4f	10:EY D AA L F
5's	10:EY D AA L F S
5o	012:OW
4ph	10:EY D AO L F
6a	010:OW L F AH
6son	100:AE D OW L F S AH N
6us	010:AO L F AH S
3n	01:AO N
4ia	0100:OW N IY AH
5s	010:AA N AH S
3pt	01:AA P T
5able	0100:AA P T AH B AH L
5ed	010:AA P T IH D
6e	011:IY
7s	011:IY Z
6r	010:AA P T ER
7s	010:AA P T ER Z
5ing	010:AA P T IH NG
6on	010:AA P SH AH N
8s	010:AA P SH AH N Z
6ve	010:AA P T IH V
5s	01:AA P T S
3r	01:AO R
4a	010:AO R AH
5belle	1000:AE D ER AH B AH L
6le	0100:AO R AH B AH L
5tion	2010:EY SH AH N
4e	01:AO R
5d	01:AO R D
5e	001:IY
6s	001:IY Z
5s	01:AO R Z
4ing	010:AO R IH NG
4n	01:AO R N
5a	010:AO R N AH
5ed	01:AO R N D
5ing	010:AO R N IH NG
5ment	010:AO R N M AH N T
5o	010:AO R N OW
5s	01:AO R N Z
2ra	10:EY D R AH
4gna	010:AA G N AH
3da	100:EY D ER D AH
3ea	100:AA D R IY AH
4nal	010:IY N AH L
7in	0100:EH N AH L IH N
9e	0100:EH N AH L AH N
5ergic	0010:EH R JH IH K
3ia	100:AA D R IY AH
5n	100:EY D R IY AH N
6a	2010:AE N AH
6ce	010:IY AH N S
6o	0010:AA N OW
5tic	2010:AE T IH K
4el	01:IY L
5nne	001:EH N
4ft	01:IH F T
3oit	01:OY T
6ly	010:OY T L IY
2s	1:AE D Z
3'	1:AE D Z
3it	10:AE D S IH T
3l	2221:EH L
3orption	010:AO R P SH AH N
3s	1:AE D S;1111:EH S
3tar	10:AE D S T AA R
4eam	10:AE D S T IY M
2tec	12:EH K
2ulate	102:EY T
6ion	2010:EY SH AH N
4iadae	02010:AA D EY
4t	01:AH L T;10:AE D AH L T
5erate	0102:EY T
ad	01020:EY T IH D
as	0102:EY T S
9ion	02010:EY SH AH N
7er	0100:AH L T ER ER
9s	0100:AH L T ER ER Z
7ous	0100:AH L T ER AH S
7y	0100:AH L T ER IY
5hood	012:UH D
5s	01:AH L T S;10:AE D AH L T S
6'	01:AH L T S;10:AE D AH L T S
3sdur	100:AE D AH S D ER
2vacare	102:EH R
4lue	102:UW
4nce	01:AE N S
7's	010:AE N S AH Z;010:AE N S IH Z
7d	01:AE N S T
7ment	010:AE N S M AH N T
bs	010:AE N S M AH N T S
7r	010:AE N S ER
8s	010:AE N S ER Z
7s	010:AE N S AH Z;010:AE N S IH Z
6ing	010:AE N S IH NG
5i	010:AA N IY
5ta	010:AE N T AH
7's	010:AE N T AH Z
7ge	010:AE N T IH JH
9d	010:AE N T IH JH D
9ous	2010:EY JH AH S
9s	0100:AE N T IH JH IH Z
6est	010:AE N T AH S T
3ection	010:EH K SH AH N
4nt	12:EH N T
6ist	120:EH N T IH S T
9s	120:EH N T IH S T S
6ure	010:EH N CH ER
9r	0100:EH N CH ER ER
as	0100:EH N CH ER ER Z
9s	010:EH N CH ER Z
aome	0100:EH N CH ER S AH M
8ism	01020:IH Z AH M
8ous	0100:EH N CH ER AH S
4rb	10:AE D V ER B
6ial	0100:ER B IY AH L
6s	10:AE D V ER B Z
5sarial	20100:EH R IY AH L
9es	1020:EH R IY Z
8y	1020:EH R IY
6e	01:ER S;12:ER S
7ly	010:ER S L IY
6ity	0102:IY;0100:ER S IH T IY
5t	10:AE D V ER T
6ise	102:AY Z
9d	102:AY Z D;201:AY Z D
9ment	0100:ER T AH Z M AH N T;2010:AY Z M AH N T
ds	1020:AY Z M AH N T S
9r	1020:AY Z ER
a's	1020:AY Z ER Z
as	1020:AY Z ER Z
b'	1220:AY Z ER Z
9s	1020:AY Z IH Z
8ing	1020:AY Z IH NG
b's	1020:AY Z IH NG Z
6orial	20100:AO R IY AH L
bs	20100:AO R IY AH L Z
4st	10:AE D V EH S T
3ice	01:AY S
4l	12:IH L
5's	12:IH L Z
4sability	220100:IH L IH T IY
7le	0100:AY Z AH B AH L
5e	01:AY Z
6d	01:AY Z D
7ly	0100:AY Z AH D L IY
6ment	010:AY Z M AH N T
6r	010:AY Z ER
7's	010:AY Z ER Z
7s	010:AY Z ER Z
8'	210:AY Z ER Z
6s	010:AY Z IH Z
5ing	010:AY Z IH NG
5or	010:AY Z ER
7ies	0100:AY Z ER IY Z
7s	010:AY Z ER Z
7y	0100:AY Z ER IY
3o	10:AE D V OW
4cacy	1000:AE D V AH K AH S IY
6te	100:AE D V AH K AH T;102:EY T
8's	100:AE D V AH K AH T S
8d	1020:EY T IH D
8s	100:AE D V AH K AH T S;102:EY T S
7ing	1020:EY T IH NG
8on	2010:EY SH AH N
2week	10:AE D W IY K
4ll	01:EH L
3ords	12:ER D Z
2y	10:EY D IY
2z	1:AE D Z
1e	1:EY
2gean	010:IY AH N
4rter	100:EH G ER T ER
3is	10:IY JH AH S
3on	10:EY G AA N
2ltus	10:AE L T AH S
2neas	100:AE N IY AH S
4id	010:IY IH D
2olus	100:EH OW L UH S
2quitron	100:EY K W IH T R AA N
2r	1:EH R;111:AA R
3ial	100:EH R IY AH L
6s	100:EH R IY AH L Z
4e	10:EH R IY
5n	100:EH R IY AH N
6s	100:EH R IY AH N Z
4talia	2010:AE L Y AH
3o	10:EH R OW
4batic	2010:AE T IH K
9s	2010:AE T IH K S
5ic	010:OW B IH K
7ally	0100:OW B IH K L IY
7s	010:OW B IH K S
4drome	102:OW M
9s	102:OW M Z
5ynamic	20010:AE M IH K
bally	200100:AE M IH K L IY
bist	200100:AE M IH S IH S T
es	200100:AE M IH S IH S T S
bs	20010:AE M IH K S
7e	102:AY N
8's	102:AY N Z
4flot	102:AA T
8's	102:AA T S
4genosa	10020:OW S AH
4jet	102:EH T
7s	102:EH T S
4lift	102:IH F T
8s	102:IH F T S
6neas	20100:IH N IY AH S
4mar	100:EH R AH M AA R;100:EH R OW M AA R
5exico	20102:OW
a's	20102:OW Z
4nautic	2010:AA T AH K
aal	20100:AA T AH K AH L
bs	20100:AO T IH K AH S
as	2010:AO T IH K S
4peru	2001:UW
8's	2001:UW Z
4quip	102:IH P
4science	2010:AY AH S
5mith	102:IH TH
9's	102:IH TH S
5ol	102:AA L
7s	102:AA L Z
5pace	102:EY S
9's	1020:EY S IH Z
7tiale	20201:AA L
c's	20201:AA L Z
5tar	102:AA R
8's	102:AA R Z
8s	102:AA R Z
7t	102:AE T
8's	102:AE T S
8s	102:AE T S
4tech	102:EH K
4vias	0010:IY AH Z
3ts	1:EH R T S
2schelus	100:EH S K AH L AH S
5liman	100:EH SH L IY M AH N
3op	12:AA P
5's	12:AA P S
3thenopia	0010:AO P Y AH
6te	10:EH S TH IY T
8's	10:EH S TH IY T S
8s	10:EH S TH IY T S
7ic	010:EH T IH K
9ally	0100:EH T IH K L IY
9s	010:EH T IH K S
2tna	10:EH T N AH
5's	10:EH T N AH Z
1fanasyev	20100:EY S IY EH V
3r	01:AA R
2fable	100:AE F AH B AH L
6y	100:AE F AH B L IY
4ir	01:EH R
6's	01:EH R Z
6s	01:EH R Z
3ect	01:EH K T
6ation	2010:EY SH AH N
6ed	010:EH K T IH D
6ing	010:EH K T IH NG
7on	010:EH K SH AH N
9ate	0100:EH K SH AH N AH T;0100:EH K SH AH N IH T
cly	01000:EH K SH AH N AH T L IY
9s	010:EH K SH AH N Z
7ve	010:EH K T IH V
9ly	0100:EH K T IH V L IY
6s	01:EH K T S
4ldt	10:AE F IH L T
4rent	100:AE F ER AH N T
3iant	100:AE F IY AH N T
4davit	2010:EY V AH T
9s	2010:EY V IH T S
4liate	0102:EY T;0100:IH L IY AH T
9's	0102:EY T S
9d	01020:EY T IH D
a's	01020:EY T IH D Z
9s	0100:IH L IY AH T S;0102:EY T S
a'	0100:IH L IY IH T S
8ing	01020:EY T IH NG
9on	02010:EY SH AH N
bs	02010:EY SH AH N Z
4ne	01:AY N
6d	01:AY N D
6s	01:AY N Z
5ing	010:AY N IH NG
6ties	0100:IH N AH T IY Z
7y	0100:IH N AH T IY;0100:IH N IH T IY
4rm	01:ER M
6ation	2010:EY SH AH N
bs	2010:EY SH AH N Z
9ve	0100:ER M AH T IH V
bly	01000:ER M AH T IH V L IY
6ed	01:ER M D
6ing	010:ER M IH NG
6s	01:ER M Z
4x	10:AE F IH K S;01:IH K S
5ed	01:IH K S T
6s	100:AE F IH K S IH Z;010:IH K S IH Z
5ing	010:IH K S IH NG
3leck	10:AE F L IH K
5rbach	102:AA K
4ict	01:IH K T
7ed	010:IH K T IH D
7ing	010:IH K T IH NG
8on	010:IH K SH AH N
as	010:IH K SH AH N Z
7s	01:IH K T S
5k	21:IH K
4uence	100:AE F L UW AH N S
7t	100:AE F L UW AH N T
3olter	100:AE F OW L T ER
4rd	01:AO R D
6ability	020100:IH L AH T IY
8le	0100:AO R D AH B AH L
9y	0100:AO R D AH B L IY
6ed	010:AO R D AH D
6ing	010:AO R D IH NG
6s	01:AO R D Z
3ricate	100:AE F R AH K AH T
9s	100:AE F R AH K AH T S
8ion	2010:EY SH AH N
4ont	01:AH N T
7ed	010:AH N T IH D
7ing	010:AH N T IH NG
7s	01:AH N T S
3ymax	102:AE K S
2ghan	12:AE N
6i	010:AA N IY
7's	010:AE N IY Z
7s	010:AE N IY Z
8tan	0102:AE N
b's	0102:AE N Z
bs	0102:AE N Z
6s	12:AE N Z
2heldt	12:EH L T
2icionado	02012:OW
as	02010:AA D OW Z
3eld	01:IY L D
3re	01:AY R
2l	221:EH L
3ame	01:EY M
4toxin	2010:AA K S IH N
3oat	01:OW T
3utter	010:AH T ER
2med	10:AE F M EH D
2onso	010:AA N S OW
3ot	01:UH T
3rementioned	0120:EH N SH AH N D
5said	012:EH D
5thought	012:AA T
3ul	01:AW L
2raid	01:EY D
3esh	01:EH SH
3ica	100:AE F R AH K AA;100:AE F R IH K AH;100:AE F ER K AH
6's	100:AE F R AH K AH Z;100:AE F R IH K AH Z
6n	100:AE F R AH K AH N;100:AE F R IH K AH N
7-american	1000100:EH R AH K AH N
gs	1000100:EH R IH K AH N Z
7ist	1000:AE F R IH K AH N IH S T
a's	1000:AE F R IH K AA N IH S T S
as	1000:AE F R IH K AA N IH S T S
8ze	1002:AY Z
ad	1002:AY Z D
7s	100:AE F R AH K AH N Z;100:AE F R IH K AH N Z
4di	010:IY D IY
4kaans	201:AA N Z
6ner	2010:AA N ER
9dom	20100:AA N ER D AH M
9s	2010:AA N ER Z
3o	10:AE F R OW
4american	100100:EH R AH K AH N
cs	100100:EH R AH K AH N Z
4centric	1010:EH N T R IH K
2sane	012:EY
6's	012:EY Z
3har	10:AE F SH ER
6's	10:AE F SH ER Z
2t	1:AE F T
3er	10:AE F T ER
5-room	102:UW M
5all	102:AA L
5burner	1020:ER N ER
bs	1020:ER N ER Z
5effect	1002:EH K T
bs	1002:EH K T S
5glow	102:OW
9s	102:OW Z
5hours	1020:AW ER Z
5image	1020:IH M IH JH
as	10200:IH M IH JH AH Z
5life	102:AY F
7ves	102:AY V Z
5market	1020:AA R K IH T
bs	1020:AA R K IH T S
7th	102:AE TH
9s	102:AE TH S
5noon	201:UW N
9's	201:UW N Z
9s	201:UW N Z
5shave	201:EY V
as	201:EY V Z
7ock	102:AA K
as	102:AA K S
5taste	102:EY S T
as	102:EY S T S
7x	102:AE K S
6hought	102:AA T;102:AO T
cs	102:AA T S;102:AO T S
5ward	100:AE F T ER W ER D
9s	100:AE F T ER W ER D Z
2ula	010:UW L AH
5's	010:UW L AH Z
1g	1:AE G;11:IY
2's	1:AE G Z
2a	10:AA G AH
3che	10:AE G AE CH
6's	100:AE G AE CH AH Z
6s	100:AE G AE CH AH Z
3in	01:EH N;01:EY N
5st	01:EH N S T;01:EY N S T
3memnon	2012:AA N
9's	2012:AA N Z
3n	10:EY G AH N
4a	010:AA N AH
4begyan	2010:EH G Y AH N
4s	10:AA G AA N Z
3pe	01:EY P
3r	10:EY G ER
4d	10:AE G ER D
4wal	100:AA G AA R W AA L
3sp	01:AE S P
4si	100:AE G AH S IY
6z	010:AE S IH Z
3te	10:AE G AH T
5s	10:AE G AH T S
4ha	100:AE G AH TH AH
3wam	102:AA M
2co	12:OW
2e	1:EY JH
3's	10:EY JH IH Z
3d	1:EY JH D;10:EY JH IH D
3e	11:IY
4's	10:EY JH IY Z
3less	10:EY JH L AH S
3matsu	1010:AE T S UW
3nce	10:AE JH AH N S
5ies	100:EY JH AH N S IY Z
8'	100:EY JH AH N S IY Z
5y	100:EY JH AH N S IY
6's	100:EY JH AH N S IY Z
4da	010:EH N D AH
6s	010:EH N D AH Z
4t	10:EY JH AH N T
5's	10:EY JH AH N T S
5s	10:EY JH AH N T S
6'	10:EY JH AH N T S
3r	10:EY JH ER
4atum	0100:EH R AH T AH M
8s	0100:EH R AH T AH M Z
4s	10:EY JH ER Z
5'	10:EY JH ER Z
4ton	100:EY G ER T AH N
3s	10:EY JH AH Z;10:EY JH IH Z
2fa	10:AE G F AH
2garwal	010:AA R W AH L
3ie	10:AE G IY
5s	10:AE G IY Z
3lomerate	0102:EY T
aion	02010:EY SH AH N
4utinate	0102:EY T
3randize	012:AY Z
ament	1020:AY Z M AH N T;0120:AY Z M AH N T
9ing	1020:AY Z IH NG;0120:AY Z IH NG
5vate	102:EY T
9d	1020:EY T IH D
9s	102:EY T S
8ing	1020:EY T IH NG
9on	2010:EY SH AH N
4egate	100:AE G R AH G AH T;100:AE G R AH G IH T;100:AE G R AH G EY T
9d	1020:EY T IH D
9s	100:AE G R AH G IH T S;102:EY T S
8ion	2010:EY SH AH N
5ss	01:EH S
7ion	010:EH SH AH N
as	010:EH SH AH N Z
8ve	010:EH S IH V
aly	0100:EH S IH V L IY
aness	0100:EH S IH V N AH S
9ity	00100:IH V IH T IY
7or	010:EH S ER
9s	010:EH S ER Z
5y	01:EY
4ieve	01:IY V
8d	01:IY V D
3y	10:AE G IY
2hast	01:AE S T
4zadeh	2012:EH
2ie	10:AE G IY
3ldo	010:IH L D OW
4e	10:AE JH AH L
4is	010:IH L AH S
5ty	0100:IH L AH T IY
3n	01:IY N
4court	102:AO R T
4g	10:EY JH IH NG
4s	10:EY G IH N Z
3p	10:EY G IH P
3tate	102:EY T
7d	1020:EY T IH D
6ing	1020:EY T IH NG
7on	2010:EY SH AH N
6or	1020:EY T ER
8s	1020:EY T ER Z
4prop	102:AO P
3us	100:EY JH IY IH S
2leam	01:IY M
4r	10:AE G L ER
3itter	010:IH T ER
3o	01:OW
4w	01:OW
2na	10:AE G N AA
3e	10:AE G N IH
4lla	210:EH L AA
6i	120:EH L IY
7's	120:EH L IY Z
7s	120:EH L IY Z
6o	210:EH L OW
4r	10:AE G N ER
4s	10:AE G N IH S
4ta	010:EH T AH
4w	10:AE G N UW;10:AE G N Y UW
3ico	102:OW
3or	10:AE G N ER
4s	10:AE G N OW S
5io	0100:OW S IY OW
5tic	010:AA S T IH K
8ally	0102:IY
8s	010:AA S T IH K S
2o	01:OW
3g	01:AA G
4lia	0100:AA G L IY AH
3nies	100:AE G AH N IY Z
5st	100:AE G AH N IH S T
7s	100:AE G AH N IH S T S
5ze	102:AY Z
7d	102:AY Z D
7s	1020:AY Z IH Z
6ing	1000:AE G AH N AY Z IH NG
9ly	10202:IY
4y	100:AE G AH N IY
3ra	100:AE G ER AH
5phobia	020100:OW B IY AH
3sta	010:OW S T AH
5inelli	00010:EH L IY
7i	0010:IY N IY
7o	0010:IY N OW
5o	010:OW S T OW
3ura	010:UW R AH
5on	010:UW R AA N
2ra	10:AE G R AH
4rian	0100:EH R IY AH N
8ism	010020:IH Z AH M
4wal	010:AE W AH L
3ee	01:IY
5able	0100:IY AH B AH L
5d	01:IY D
5ing	010:IY IH NG
5ment	010:IY M AH N T
9's	010:IY M AH N T S
9s	010:IY M AH N T S
5s	01:IY Z
4gable	0100:EH JH AH B AH L
5ious	0100:IY JH IY AH S
4source	102:AO R S
5ta	010:EH S T AH
6i	010:EH S T IY
4xco	010:EH K S K OW
3i	10:AE G R IY
4bank	102:AE NG K
5usiness	1020:IH Z N AH S
4co	010:IY K OW
6la	2010:OW L AH
7e	102:OW L
5ultural	20100:AH L CH ER AH L
cist	201000:AH L CH ER AH L AH S T
cly	201000:AH L CH ER AH L IY;20100:AH L CH R AH L IY
ae	1020:AH L CH ER
b's	1020:AH L CH ER Z
4fuel	102:UW L
8s	102:UW L Z
4genetics	20010:EH T IH K S
4ppa	010:IH P AH
4visor	1020:AY Z ER
3o	10:AE G R OW
4chemical	20100:EH M AH K AH L
cs	20100:EH M IH K AH L Z
4industrial	200100:AH S T R IY AH L
4komerc	1002:ER K
4nomist	0100:AA N AH M IH S T
as	0100:AA N AH M IH S T S
7y	0102:IH
4siand	0100:OW S IY AH N D
4und	01:AW N D
3usa	010:UW S AH
2ua	10:AA G W AH
4cate	102:EY T
4dilla	2010:IH L AH
5o	010:AA D OW
4nga	010:AA N G AH
4scalientes	20010:EH N T EH S
4yo	010:EY OW
3delo	0010:EY L OW
3e	12:UW
4ro	010:EH R OW
3iar	100:AA G W IY ER
4la	010:IY L AH
6r	100:AE G AH L AA R
5era	0010:EH R AH
5lar	100:AE G AH L AA R
8d	100:AE G IH L ER D
6on	001:AO N
5o	010:IY L OW
4naga	00010:AA G AH
4rra	010:IH R AH
7's	010:IH R AH Z
6e	010:IH R EY
7's	010:IH R EY Z
3stin	010:AO S T IH N
1h	1:AA
2a	21:AA
3b	12:AE B
3h	10:AA HH AA
3ron	100:AE HH ER AA N
4t	01:AA R T
3suerus	02010:EH R AH S
3ulsie	010:AA L S IY
2ead	01:EH D
4rn	01:ER N
3rin	100:AA ER IH N
4n	01:ER N
5e	01:ER N
2h	1:AA
2l	1:AA L
3berg	10:AA L B ER G
4orn	10:AA L B ER N
3en	01:EY N;10:AA L AH N
4rs	10:AA L ER Z
4s	10:EY AH L Z
3f	1:AA L F
3gren	10:AA L G R EH N
5im	10:AA L G R IH M
3in	10:AA L IH N
3man	10:AA L M AH N
3quist	12:IH S T
8's	12:IH S T S
8s	12:IH S T S
3strand	10:AA L S T R AH N D
6om	10:AA L S T R AH M
3uwalia	0010:AA L Y AH
2mad	10:AA M AA D
5i	010:AA D IY
4nn	10:AA M AH N
5son	100:AA M AH N S AH N
8's	100:AA M AH N S AH N Z
8s	100:AA M AH N S AH N Z
3ed	10:AA M AH D;10:AA M EH D
4ek	10:AH M IY K
3oudi	010:UW D IY
2n	1:AE N
3ell	01:EH L
4r	10:AA N ER
2o	10:AA HH OW
3la	100:AE HH AH L AH
4d	01:OW L D
5's	01:OW L D Z
5s	01:OW L D Z
3nen	010:OW N AH N
3skie	010:AO S K IY
3y	01:OY
2r	1:AA R
3anat	010:AA N AH T
3en	10:AA R AH N
5dt	10:AA R IH N T
5s	10:AA R IH N Z
2s	1:AA Z
3ahka	010:AA K AH
2uja	010:UW Y AH
3mada	0010:AA D AH
2wahnee	010:AA N IY
1i	1:AY;11:AY
2chele	10:AY K AH L
5r	10:AY K ER
4i	010:IY CH IY
3kin	10:EY K IH N
2d	1:EY D
3's	1:EY D Z
3a	010:IY D AH
4n	10:EY D AA N
3e	1:EY D
4's	1:EY D Z
4d	10:EY D AH D;10:EY D IH D
4n	21:EH N
5n	21:EH N
4s	1:EY D Z
5'	1:EY D Z
3id	21:IY D
5's	21:IY D Z
4ng	10:EY D IH NG
3s	1:EY D Z
2ello	210:EH L OW
3sha	10:AY SH AH
2gner	10:EY N ER;01:EY;10:EY K N ER
3uebelle	102:EH L
2ken	10:EY K IH N
5s	10:EY K IH N Z
4y	10:EY K IY
3in	10:EY K IH N
5s	10:AY K IH N Z
3man	10:EY K M AH N
3off	12:AO F
2l	1:EY L
3ee	11:IY
5n	01:IY N
4ne	01:IY N
4ron	102:AA N
7s	102:AA N Z
4s	1:AY L Z;1:EY L Z
4y	10:EY L IY
3ing	10:EY L IH NG
3ment	10:EY L M AH N T
7s	10:EY L M AH N T S
3or	10:EY L ER
3s	1:EY L Z
4a	10:EY L S AH
3urophile	0100:UH R AH F AY L;01000:UH R AH F AY AH L
2m	1:EY M
3's	1:EY M Z
3al	10:AY M AH L
4n	10:AY M AH N
3e	1:EY M
4d	1:EY M D
4e	11:IY
4tti	010:EH T IY
3ing	10:EY M IH NG
3less	10:EY M L AH S
7ly	100:EY M L AH S L IY
3one	12:OW N
3s	1:EY M Z
2n't	1:EY N T
3e	1:EY N
3ge	1:EY NG;1:EY N JH
3ley	10:EY N L IY
3sberg	10:EY N Z B ER G
4ley	10:EY N S L IY
5ie	10:EY N Z L IY
4worth	10:EY N S W ER TH
9's	10:EY N Z W ER TH S
3u	12:UW
2pac	12:AE K
5's	12:AE K S
2r	1:EH R
3's	1:EH R Z
3-conditioning	10200:IH SH AH N IH NG
4force	10:EH R F AO R S
3bag	12:AE G
6s	12:AE G Z
5se	12:EY S
7s	120:EY S IH S
4oat	10:EH R B OW T
7s	10:EH R B OW T S
5rne	12:AO R N
8's	12:AO R N Z
4us	10:EH R B AH S
6's	100:EH R B AH S IH Z
3cal	10:EH R K AA L
6's	12:AE L Z
4o	10:EH R K OW
5a	210:OW AH
5ndition	1020:IH SH AH N
ced	1020:IH SH AH N D
dr	10200:IH SH AH N ER
cing	10200:IH SH AH N IH NG
cs	1020:IH SH AH N Z
4raft	12:AE F T
8's	12:AE F T S;12:AE F S
8s	12:AE F T S;12:AE F S
5ew	12:UW
3d	1:EH R D
4rop	10:EH R D R AA P
7s	10:EH R D R AA P S
3ed	1:EH R D
5ale	12:EY L
8s	12:EY L Z
4s	10:EH R IY Z
4y	10:EH R IY
3fare	12:EH R
7s	12:EH R Z
4ield	12:IY L D
8s	12:IY L D Z
4low	10:EH R F L OW
7s	10:EH R F L OW Z
4oil	12:OY L
7s	12:OY L Z
5ne	12:OW N
7s	12:OW N Z
5rce	10:EH R F AO R S
8s	100:EH R F AO R S IH Z
4rame	12:EY M
8s	12:EY M Z
5eight	12:EY T
3gas	12:AE S
4low	12:OW
3hart	10:EH R HH AA R T
4ead	12:EH D
7z	12:EH D Z
3ing	10:EH R IH NG
6ton	100:EH R IH NG T AH N
3less	10:EH R L AH S
4ia	100:EH R L IY AH
5e	10:EH R L IY
5ft	12:IH F T
7ed	120:IH F T IH D
8r	120:IH F T ER
9s	120:IH F T ER Z
7ing	120:IH F T IH NG
7s	12:IH F T S
5ne	12:AY N
7's	12:AY N Z
7r	120:AY N ER
8's	120:AY N ER Z
8s	120:AY N ER Z
7s	12:AY N Z
8'	12:AY N Z
6k	12:IH NG K
7s	12:IH NG K S
4ock	12:AO K
7s	12:AO K S
3mail	12:EY L
5n	10:EH R M AH N
6's	10:EH R M AH N Z
4en	12:EH N
4otive	210:OW T IH V
3plane	12:EY N
8's	10:EH R P L EY N Z
8s	10:EH R P L EY N Z
4ort	12:AO R T
7's	12:AO R T S
7er	120:AO R T ER
9s	120:AO R T ER Z
7s	12:AO R T S
5wer	120:AW ER
3s	1:EH R Z
4hare	10:EH R SH EH R
5ip	12:IH P
7s	12:IH P S
4pace	12:EY S
8s	120:EY S IH Z
5eed	12:IY D
4trike	12:AY K
9s	12:AY K S
7p	12:IH P
8s	12:IH P S
3tight	12:AY T
5me	12:AY M
4ouch	12:AH CH
4ran	12:AE N
3wave	12:EY V
7s	12:EY V Z
5y	12:EY
6's	12:EY Z
6s	12:EY Z
7'	12:EY Z
8s	120:EY Z IH Z
